UPC,NAME,SKU,TAX,PRICE,COLOR,SIZE,ONHAND,SEASON,CATEGORY 1,CATEGORY 2,CATEGORY 3,COLOR CODE,SEASON CODE,DESCRIPTION,SALE PRICE,ON SALE
82800100976,LEGACY BEANIE                                     ,BABNVLEG,Y,11.5,BLUE                ,ONE                 ,0,2012 FALL                           ,BOYS                                ,ACCESSORIES                         ,BEANIES                             ,BLU,V,This beanie is 100% cotton with a elastic headband,,N
82800100983,LEGACY BEANIE                                     ,BABNVLEG,Y,11.5,RED                 ,ONE                 ,3,2012 FALL                           ,BOYS                                ,ACCESSORIES                         ,BEANIES                             ,RED,V,This beanie is 100% cotton with a elastic headband,,N
82800100990,SMALL FRY BEANIE                                  ,BABNVSMA,Y,11.5,NAVY                ,ONE                 ,1,2012 FALL                           ,BOYS                                ,ACCESSORIES                         ,BEANIES                             ,NVY,V,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,,N
82800101007,SMALL FRY BEANIE                                  ,BABNVSMA,Y,11.5,YELLOW              ,ONE                 ,0,2012 FALL                           ,BOYS                                ,ACCESSORIES                         ,BEANIES                             ,YEL,V,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,,N
82800196710,ALLEGIANCE FLEXFIT                                ,BAHTVALL,Y,19.5,BLACK               ,ONE                 ,0,2012 FALL                           ,BOYS                                ,ACCESSORIES                         ,CAPS-TRUCKER                        ,BLK,V,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,,N
82800196727,ALLEGIANCE FLEXFIT                                ,BAHTVALL,Y,19.5,GREEN               ,ONE                 ,0,2012 FALL                           ,BOYS                                ,ACCESSORIES                         ,CAPS-TRUCKER                        ,GRN,V,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,,N
82800196734,AMPED TRUCKER                                     ,BAHTVAMP,Y,12,BLACK               ,ONE                 ,3,2012 FALL                           ,BOYS                                ,ACCESSORIES                         ,CAPS-TRUCKER                        ,BLK,V,"Party in the front, Mesh in the back",,N
82800196741,AMPED TRUCKER                                     ,BAHTVAMP,Y,12,BLUE                ,ONE                 ,0,2012 FALL                           ,BOYS                                ,ACCESSORIES                         ,CAPS-TRUCKER                        ,BLU,V,"Party in the front, Mesh in the back",,N
82800196757,AMPED TRUCKER                                     ,BAHTVAMP,Y,12,WHITE/ORANGE        ,ONE                 ,0,2012 FALL                           ,BOYS                                ,ACCESSORIES                         ,CAPS-TRUCKER                        ,WOR,V,"Party in the front, Mesh in the back",,N
82800196696,KOMPLETE TRUCKER                                  ,BAHTVKOM,Y,16.5,BLUE                ,ONE                 ,0,2012 FALL                           ,BOYS                                ,ACCESSORIES                         ,CAPS-TRUCKER                        ,BLU,V,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,,N
82800196703,KOMPLETE TRUCKER                                  ,BAHTVKOM,Y,16.5,SILVER              ,ONE                 ,0,2012 FALL                           ,BOYS                                ,ACCESSORIES                         ,CAPS-TRUCKER                        ,SIL,V,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,,N
82800196604,AD RIPPER DUDE                                    ,BAHTVRIP,Y,20.5,BLACK               ,ONE                 ,0,2012 FALL                           ,BOYS                                ,ACCESSORIES                         ,ANDY DAVIS COLLECTION               ,BLK,V,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,18.5,Y
82800196611,AD RIPPER DUDE                                    ,BAHTVRIP,Y,20.5,WHITE               ,ONE                 ,0,2012 FALL                           ,BOYS                                ,ACCESSORIES                         ,ANDY DAVIS COLLECTION               ,WHT,V,-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,18.5,Y
82800189872,STANCE JCKT                                       ,BSNJVSTA,Y,124.5,GOLF GREEN          ,L                   ,3,2012 FALL                           ,SNOW                                ,BOYS                                ,JACKET OUTERWEAR                    ,GFG,V,"Made from 60% canvas, 40% cottom and 100% love",,N
82800189865,STANCE JCKT                                       ,BSNJVSTA,Y,124.5,GOLF GREEN          ,M                   ,3,2012 FALL                           ,SNOW                                ,BOYS                                ,JACKET OUTERWEAR                    ,GFG,V,"Made from 60% canvas, 40% cottom and 100% love",,N
